section,metric,value,value_status,details,comments,source_sheet,source_row
Inconclusives,Number of Tubes in RFR Audit Inconclusive not in Appivo Final Results,3,ok,,,Stats,32
Inconclusives,Total Number of Inconclusive Tubes,5,ok,,,Stats,33
Inconclusives,% of Tubes Inconclusive,0.006476683938,ok,,,Stats,34
Inconclusives,Number of Inconclusive Tubes resolved Positive by Referral Test or Correspondence,1,ok,,,Stats,35
Inconclusives,% Inconclusives resolved Positive by Referral Tests,0.2,ok,,,Stats,36
Inconclusives,Number of Inconclusive Tubes with Referral Test or Correspondence Negative,2,ok,,,Stats,37
Inconclusives,Number of Inconclusive Tubes with no Referral Test result or Correspondence,2,ok,,,Stats,38
Inconclusives,Number of Tubes with Initial Inconclusives and Re-run Negative,7,ok,"Count Result Correction Code=2.5 in preDel col AJ, or from RFR preExcl if not resulted as Incl in App","1/26, 1/28, 2/15, 2/25, 3/5 2, 3/7",Stats,39
Inconclusives,Number of Inconclusive Test Run Calls,12,ok,includes re-runs - from RFR Audit only and excludes any APS only resulted inconclusives,,Stats,40
Inconclusives,% Tube Tests Run Called Inconclusive,0.01515151515,ok,includes re-runs,,Stats,41
Referrals and Correspondence,Number of FloodLAMP Cases with Referral Tests or Correspondence,53,ok,"Indiv or Pool, Cases used instead of Person to account for people being contracting COVID multiple times, and instead of Results to exclude re-tests",,Stats,44
Referrals and Correspondence,Number of Referral Confirmed FloodLAMP Positives,51,ok,Sometimes also termed Agree Positives - Include initial Inconclusive with Referral or Correspondence Positive,,Stats,45
Referrals and Correspondence,FL Inconclusives with Referral / Correspondence Positive,1,ok,,,Stats,46
Referrals and Correspondence,% FloodLAMP Positive or Inconclusive with Referral / Correspondence Positive,0.9811320755,ok,,,Stats,47
Referrals and Correspondence,FL Inconclusives but Referral / Correspondence Negative,1,ok,,,Stats,48
Referrals and Correspondence,FL Inconclusives with No Referral Tests or Correspondence,3,ok,,,Stats,49
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Referral Antigen Tests (including non-Same Day),,not_available,,Not Available - Only PCR Referral Testing,Stats,52
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Same Day Referral Antigen Tests,,not_available,,Not Available - Only PCR Referral Testing,Stats,53
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases with Same Day Antigen Negative,,not_available,Agree with Referral Test Positive (usually PCR or later Antigen) but Initial Antigen Negative,Not Available - Only PCR Referral Testing,Stats,54
Comparison to Antigen,% Confirmed FloodLAMP Positives with Same Day Antigen Negative,,not_available,,Not Available - Only PCR Referral Testing,Stats,55
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases confirmed with Referral Tests but Antigen and Other Non-Antigen Test Negative,,not_available,,Not Available - Only PCR Referral Testing,Stats,56
Comparison to Antigen,% Confirmed FloodLAMP Positives that were Antigen and Other Non-Antigen Test Negative,,not_available,,Not Available - Only PCR Referral Testing,Stats,57
False Calls,False Positives Final Results,0,ok,From reviewing APS/Pos and Incl tab Unconfirmed FL Positives,,Stats,60
False Calls,False Negative Final Results (Suspected),0,ok,From reviewing Referral Tests by Person and correspondence with Program Admin,,Stats,61
People,Number of Unique Indivuals Tested,187,ok,Includes UnknownPerson additions but not ARF tubes,,Stats,64
People,Number of Unique Sponsors,103,ok,People who collect using the app,,Stats,65
Positivity,Number of Unique Individual Tested FloodLAMP Positive,50,ok,includes Inconclusive FloodLAMP result confirmed Positive by follow-up or Referral,,Stats,68
Positivity,% of Population FloodLAMP Positive (excluding pools not deconv),0.2673796791,ok,,,Stats,69
Positivity,Number of Unique Individual Tested FloodLAMP Positive (including if in a positive pool),50,ok,,,Stats,70
Positivity,% of Population FloodLAMP Positive (including everyone in a positive pool),0.2673796791,ok,,,Stats,71
Dates,Start Run Date,2021-12-10,ok,,,Stats,74
Dates,End Run Date,2022-05-11,ok,,,Stats,75
Info,Test Operator,Bend Fire and Rescue,ok,Who ran the actual testing (running LAMP reactions),,Stats,78
Info,Test Processing Site,Office Space,ok,Where the test processing (running LAMP reactions) was done,,Stats,79
Info,Population Tested,"First Responders, Staff",ok,Description of the participants,,Stats,80
Info,Configuration,Double Mini,ok,Equipment set used for test processing (relates to throughput and type of test tube used),,Stats,81
Info,Collection Type,Individual,ok," Pooled, Individual, or Both",,Stats,82
Info,Self or HCW Collected,HCW,ok,HCW is Health Care Worker,,Stats,83
Info,App Used?,Yes,ok,Was the FloodLAMP Mobile App and Admin Portal utilized in the program,,Stats,84
Info,Bring-up Type,Remote (NSVD Volunteer),ok,How the initial setup and validation of the testing site was done,,Stats,85
Info,Program Name,Bend,ok,Shorthand name used internally at FloodLAMP and in other documents for this program,,Stats,86
Info,Site,Fire Station,ok,Broader physical space where the testing was done and/or where participants congregated,,Stats,87
Info,Site Type,Fire Dept / EMS,ok,Type of entity or organization receiving the testing program,,Stats,88
Info,Location,"Bend, OR",ok,Geographical location of where the FloodLAMP testing program occurred,,Stats,89
