file_name_actual,last updated,file_name,file_date,title,category,subcategory,tags,source_file_type,xfile_type,gfile_url,xfile_github_download_url,pdf_gdrive_url,pdf_github_url,conversion_input_file_type,conversion,license,tokens,words,notes,summary_short,h1_count
SOP-102-A_2 Reaction Mix Prep - Table Form.md,2025-12-14 RT after BA fixed inconsistencies,SOP-102-A_2 Reaction Mix Prep - Table Form.md,2022-08-26,FloodLAMP QMS SOP-102-A_2 Reaction Mix Prep - Table Form,guides,qms-sops,,gdoc,docx,https://docs.google.com/document/d/1Imf8TlrMkjeEpDY0buot0fgfkaJpuJApnaZ7Cm9XbOs,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-102-A_2%20Reaction%20Mix%20Prep%20-%20Table%20Form.docx,https://drive.google.com/file/d/1ajTg1-lEiXJXvt_bZlWTOeTd41GDQ0Xa,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-102-A_2%20Reaction%20Mix%20Prep%20-%20Table%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,671,359,,"The FloodLAMP QMS SOP-102-A_2 provides a table-form protocol and log for preparing Colorimetric LAMP reaction mix by combining PGS with NEB M1804 CLAMP master mix and dispensing 23 µL per well. It includes “put in use” fields, lot/expiration tracking, reaction mix ID labeling (RM_MMDD-1), and a preparation log capturing tube IDs, number of reactions, and calculated component volumes. The SOP sets reaction mix expiration at 4 weeks after preparation or sooner if discoloration occurs.",0
SOP-103-A_1 Amplification - Run Form.md,2025-12-14 RT after BA fixed inconsistencies,SOP-103-A_1 Amplification - Run Form.md,2022-01-22,FloodLAMP QMS SOP-103-A_1 Amplification - Run Form,guides,qms-sops,,gdoc,docx,https://docs.google.com/document/d/1XFMcUP6L8pzn2crTuWiHZF-UeybzBO64FLrGozo9O3M,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-103-A_1%20Amplification%20-%20Run%20Form.docx,https://drive.google.com/file/d/1yhaVkXZJYI7PtKd7kGpM0AGN4aA2IPi8,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-103-A_1%20Amplification%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,877,473,,"The FloodLAMP QMS SOP-103-A_1 is a run form for performing sample inactivation and LAMP amplification, including required PPE, heater setup checks, and step-by-step timing/temperature instructions for water bath or dry heat block inactivation and 65 °C amplification. It provides write-in fields for batch IDs, heater IDs, reagent IDs, control IDs, dispensing method, and run notes to support traceability in the linked site log. The form also includes lookup map tables for recording sample positions in strip tubes or plates.",0
SOP-104-A_1 Test Training - Run Form.md,2025-12-14 RT after BA fixed inconsistencies,SOP-104-A_1 Test Training - Run Form.md,2022-08-26,FloodLAMP QMS SOP-104-A_1 Test Training - Run Form,guides,qms-sops,,gdoc,docx,https://docs.google.com/document/d/1Nk586b_UbYKr6iE7Yrhe7NHN1tl4qSttFPYquUHJQJQ,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-104-A_1%20Test%20Training%20-%20Run%20Form.docx,https://drive.google.com/file/d/1JmcisdqvDVhxCmCFEHRi3YacFW9xYaBB,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-104-A_1%20Test%20Training%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1719,1021,,"The FloodLAMP QMS SOP-104-A_1 is an amplification training run form that walks trainees through contamination-control practices, 1XISS preparation, sample inactivation, reaction mix preparation, and the 25-minute LAMP amplification workflow. It includes a checklist-style procedure with specific handling rules (e.g., glove changes, control addition order, timing, and imaging settings) to prevent post-amplification contamination. The form provides write-in fields for batch/heater/reagent/control IDs and lookup tables for tracking sample positions in strip tubes or plates.",0
SOP-105-A_1 QuickColor Test Diagrams.md,2025-12-14 RT,SOP-105-A_1 QuickColor Test Diagrams.md,2022-08-26,FloodLAMP QMS SOP-105-A_1 QuickColor Test Diagrams,guides,qms-sops,,gdoc,docx,https://docs.google.com/document/d/15oCAL2T0or_BigVAw1kpXS_BojPpcPsMOw8aJ_qw5mA,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-105-A_1%20QuickColor%20Test%20Diagrams.docx,https://drive.google.com/file/d/1hgxWFnT6RCJRAA6CyJWD1lnAr_5P1vNT,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-105-A_1%20QuickColor%20Test%20Diagrams.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,632,304,,"The FloodLAMP QMS SOP-105-A_1 QuickColor Test Diagrams provides step-by-step diagrams for running the FloodLAMP QuickColor COVID-19 pooled saliva test, covering inactivation solution preparation, reaction mix formulation, sample processing, and colorimetric amplification readout. It serves as a visual bench reference for lab technicians performing the assay.",0
SOP-105-B_1 QuickColor Test Signage.md,2025-12-14 RT after BA fixed inconsistencies,SOP-105-B_1 QuickColor Test Signage.md,2022-08-26,FloodLAMP QMS SOP-105-B_1 QuickColor Test Signage,guides,qms-sops,,gdoc,docx,https://docs.google.com/document/d/1IO3MjHxGCzMMlYJsnHvZyzYv-ohpRolbGJksY8S08-E,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-105-B_1%20QuickColor%20Test%20Signage.docx,https://drive.google.com/file/d/1RR_V3e6fn0g7xCESHnX3t-6VYQi3r1NU,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-105-B_1%20QuickColor%20Test%20Signage.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,679,309,,"The FloodLAMP QMS SOP-105-B_1 QuickColor Test Signage is a print-ready, step-by-step bench guide for running the QuickColor assay from sample intake through reporting results. It summarizes key workflow actions and parameters, including 1XISS dilution ratios, inactivation heating/cooling times for water bath or dry heat block, reaction mix component volumes for common reaction counts, and 65 °C amplification timing. The signage also highlights contamination-control reminders (cleaning tubes, one tube open at a time) and imaging/logging instructions for reporting.",0
SDS - Clorox Bleach Regular.md,2025-12-14 RT after BA fixed inconsistencies,SDS - Clorox Bleach Regular.md,2015-06-12,Safety Data Sheet - Clorox Bleach Regular,guides,sds,,pdf,NA,NA,NA,https://drive.google.com/file/d/1VwgYf7av-AJU_gvS-kpyu0THWaCg2Tvo,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/sds/SDS%20-%20Clorox%20Bleach%20Regular.pdf,pdf,ai (claude sonnet 3.5),public domain,4190,2755,,"The Safety Data Sheet for Clorox® Regular Bleach (sodium hypochlorite 5–10%) outlines hazards, first aid, handling/storage, PPE, and disposal guidance for household disinfecting, sanitizing, and laundry use. It highlights severe skin and eye corrosion risks, toxic gas generation when mixed with acids or ammonia-containing cleaners, and high aquatic toxicity. The sheet also summarizes transport status and key regulatory notes (including EPA pesticide labeling and reportable quantity thresholds).",0
SDS - EDTA.md,2025-12-14 RT after BA fixed inconsistencies,SDS - EDTA.md,2018-01-18,Safety Data Sheet - EDTA,guides,sds,,pdf,NA,NA,NA,https://drive.google.com/file/d/1sUCW4idcd041WWuOUOgRoQvt1X5mqoNY,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/sds/SDS%20-%20EDTA.pdf,pdf,ai (claude sonnet 3.5),public domain,3537,2062,,"The Safety Data Sheet for EDTA (ethylenediaminetetraacetic acid, CAS 60-00-4) summarizes hazards, safe handling/storage, exposure controls, and emergency measures for laboratory use. It identifies inhalation (dust/mist) and eye irritation risks with potential respiratory effects from repeated exposure, and provides spill cleanup, fire response, and disposal guidance. The sheet also notes aquatic toxicity, transport as not regulated, and key regulatory/inventory listings and reportable quantity thresholds.",0
SDS - Isopropyl Alcohol 70 percent.md,2025-12-14 RT after BA fixed inconsistencies,SDS - Isopropyl Alcohol 70 percent.md,2015-06-15,Safety Data Sheet - Isopropyl Alcohol 70 percent,guides,sds,,pdf,NA,NA,NA,https://drive.google.com/file/d/1t3nmM5TzDTYJGdCxjStDCkqXa49rh947,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/sds/SDS%20-%20Isopropyl%20Alcohol%2070%20percent.pdf,pdf,ai (claude sonnet 3.5),public domain,4174,2300,,"The Safety Data Sheet for 70% isopropyl alcohol (70% isopropanol, 30% water) summarizes composition, hazards, first aid, handling/storage, exposure controls, and disposal guidance for isopropyl rubbing alcohol. It emphasizes flammability (Class 3 flammable liquid) and irritation/toxic effects from skin, eye, inhalation, or ingestion exposure, including CNS effects at high concentrations. The sheet provides spill and fire response procedures, lists key exposure limits, and notes transport identification as UN 1219 (Isopropanol, solution, PG II).",0
SDS - TCEP.md,2025-12-14 RT after BA fixed inconsistencies,SDS - TCEP.md,2020-12-29,Safety Data Sheet - TCEP,guides,sds,,pdf,NA,NA,NA,https://drive.google.com/file/d/189DnIKWpB47VrvaCwIgxdtrQpn8uPSHA,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/sds/SDS%20-%20TCEP.pdf,pdf,ai (claude sonnet 3.5),public domain,3450,2061,,"The Safety Data Sheet for TCEP (tris(2-carboxyethyl)phosphine hydrochloride, CAS 51805-45-9) provides hazard classification, first aid, storage, PPE, spill response, and disposal guidance for laboratory and synthesis use. It identifies the substance as strongly corrosive (causes severe skin burns and serious eye damage) and recommends strict protective equipment and locked, dry storage at 2–8 °C. The sheet also lists transport requirements as UN 3261, Class 8, Packing Group II (corrosive solid, acidic, organic, n.o.s.).",0
SDS - Twist Synthetic SARS-CoV-2 RNA Control Rev7 001038v7.md,2025-12-14 RT after BA fixed inconsistencies,SDS - Twist Synthetic SARS-CoV-2 RNA Control Rev7 001038v7.md,2015-06-12,Safety Data Sheet - Twist Synthetic SARS-CoV-2 RNA Control Rev7 001038v7,guides,sds,,pdf,NA,NA,NA,https://drive.google.com/file/d/1B5fQriqklnc_y3yi8kntGGb4s7Nj3HNZ,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/sds/SDS%20-%20Twist%20Synthetic%20SARS-CoV-2%20RNA%20Control%20Rev7%20001038v7.pdf,pdf,ai (claude sonnet 3.5),public domain,1507,862,,"The Safety Data Sheet for Twist Synthetic SARS-CoV-2 RNA Control describes a non-hazardous research-use reagent consisting of ≤1% RNA in TE buffer. It outlines prudent lab handling, first aid, spill cleanup, PPE recommendations, and storage at −80 °C. The sheet notes no transport restrictions and emphasizes disposal per local regulations and standard laboratory practices for materials of unknown toxicity.",0
Adding Minors In the FloodLAMP App - Instructions.md,2025-12-14 RT updated metadata after BA fixed inconsistencies,Adding Minors In the FloodLAMP App - Instructions.md,2022-09-01,Instructions for Adding Minors In the FloodLAMP App,guides,software,,gdoc,docx,https://docs.google.com/document/d/1K8CDEafa-U68ia6kPqE3_r6Qd37HyehMN1Ef7BYAzxc,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/software/Adding%20Minors%20In%20the%20FloodLAMP%20App%20-%20Instructions.docx,https://drive.google.com/file/d/1Wuje2Az8mBWCFBU2P0cQzJjWITW1Wpbv,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/software/Adding%20Minors%20In%20the%20FloodLAMP%20App%20-%20Instructions.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,250,188,screenshot images omitted from md,"The “Instructions for Adding Minors In the FloodLAMP App” guide explains how an account holder signs consent in the FloodLAMP App, adds minors to their profile using the minor’s name and birth date, and completes minor consent. It also shows how linked minors appear under the household account in the Collection screen so they can be selected as participants when collecting sample tubes for testing.",0
Guide - Admin Web Portal (WIP).md,2025-12-15 RT updated metadata after BA fixed inconsistencies,Guide - Admin Web Portal (WIP).md,2022-08-31,FloodLAMP Guide - Admin Web Portal (WIP),guides,software,,gdoc,docx,https://docs.google.com/document/d/16TH6wjOZtRGVMECh5dU7p88Pb2hLBkOeHCjvSKsdGGY,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/software/Guide%20-%20Admin%20Web%20Portal%20(WIP).docx,https://drive.google.com/file/d/1Hv6mrzamP3zl4O4USFQNSjGtElrOGVd0,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/software/Guide%20-%20Admin%20Web%20Portal%20(WIP).pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1603,1207,some portions are WIP,"The FloodLAMP Guide – Admin Web Portal (WIP) explains how program administrators use the web portal and mobile app roles to manage onboarding, user access, kits/tube tracking, and exports. It includes practical workflows for adding users and roles, monitoring consent and setup progress, reviewing results in Kits/Tubes views, and resolving common intake and collection issues.",0
Guide - Mobile App (Staff).md,2025-12-15 RT updated metadata after BA,Guide - Mobile App (Staff).md,2022-09-03,Mobile App Guide for Test Site Staff,guides,software,,gdoc,docx,https://docs.google.com/document/d/1gck3ruk1d_Lcp0M5JMt4FT6kzniqxV3-E443ElkEYUQ,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/software/Guide%20-%20Mobile%20App%20(Staff).docx,https://drive.google.com/file/d/1lMrxJdblUZKo9-9AkB_tIKDt8nxGU7ZV,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/software/Guide%20-%20Mobile%20App%20(Staff).pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1351,1018,,"The Mobile App Guide for Test Site Staff explains how staff use the FloodLAMP mobile app to move sample tubes through Intake, Process, and Results, including creating or adding to batches and updating tube statuses from “Collected” through “AMP.” It also covers how to enter final results (after any reruns), pull non-negative tubes out of a batch for separate resulting, and notify program administrators (with participant notifications noted as globally disabled for surveillance guidance).",0
Abrome Site Checklists INTERNAL COPY BEFORE SHARING.md,2025-12-14 RT updated metadata,Abrome Site Checklists INTERNAL COPY BEFORE SHARING.md,2022-09-04,Testing Site Checklists,guides,test-site,,gdoc,docx,https://docs.google.com/document/d/1Plnksj-OwJzUV9f0WIvhQncd_pBCS50HJuw-lSi7IqM,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/test-site/Abrome%20Site%20Checklists%20INTERNAL%20COPY%20BEFORE%20SHARING.docx,https://drive.google.com/file/d/1jy34vLE5VOkjL2RXIq_ATPv92UBJhfgP,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/test-site/Abrome%20Site%20Checklists%20INTERNAL%20COPY%20BEFORE%20SHARING.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1272,704,,"Provides the complete operational checklists for running FloodLAMP surveillance tests at testing sites, covering daily test procedures (equipment warm-up, reagent verification, sample processing, result communication), weekly maintenance, and ongoing lab readiness standards. It standardizes the testing workflow to ensure accurate results, proper reagent handling, and timely follow-up on positive/inconclusive pools. This was introduced at the pilot site Abrome.",0
