section,metric,value,value_status,details,comments,source_sheet,source_row
Inconclusives,Number of Tubes with Final Result Inconclusive,1,ok,,from RSR - Run Summary Report that draws from google form of weekly testing summary provided by test Admin,Stats,31
Inconclusives,Number of Tubes in RFR Audit Inconclusive not in Appivo Final Results,,not_available,,,Stats,32
Inconclusives,Total Number of Inconclusive Tubes,1,ok,,,Stats,33
Inconclusives,% of Tubes Inconclusive,0.0001399384271,ok,,,Stats,34
Inconclusives,Number of Inconclusive Tubes resolved Positive by Referral Test or Correspondence,0,ok,,,Stats,35
Inconclusives,% Inconclusives resolved Positive by Referral Tests,0,ok,,,Stats,36
Inconclusives,Number of Inconclusive Tubes with Referral Test or Correspondence Negative,,not_available,,,Stats,37
Inconclusives,Number of Inconclusive Tubes with no Referral Test result or Correspondence,,not_available,,,Stats,38
Inconclusives,Number of Tubes with Initial Inconclusives and Re-run Negative,12,ok,"Count Result Correction Code=2.5 in preDel col AJ, or from RFR preExcl if not resulted as Incl in App","Conclude the ""Other Per Week"" column was Initial Inconclusives and Final Inconclusives were reported in App (Run Summary Form had an Inconclusives question field)",Stats,39
Inconclusives,Number of Inconclusive Test Run Calls,12,ok,includes re-runs - from RFR Audit only and excludes any APS only resulted inconclusives,,Stats,40
Inconclusives,% Tube Tests Run Called Inconclusive,0.001679261125,ok,includes re-runs,,Stats,41
Referrals and Correspondence,Number of FloodLAMP Cases with Referral Tests or Correspondence,0,ok,"Indiv or Pool, Cases used instead of Person to account for people being contracting COVID multiple times, and instead of Results to exclude re-tests",,Stats,44
Referrals and Correspondence,Number of Referral Confirmed FloodLAMP Positives,0,ok,Sometimes also termed Agree Positives - Include initial Inconclusive with Referral or Correspondence Positive,Not Available,Stats,45
Referrals and Correspondence,FL Inconclusives with Referral / Correspondence Positive,0,ok,,Not Available,Stats,46
Referrals and Correspondence,% FloodLAMP Positive or Inconclusive with Referral / Correspondence Positive,,not_available,,Not Available,Stats,47
Referrals and Correspondence,FL Inconclusives but Referral / Correspondence Negative,,not_available,,Not Available,Stats,48
Referrals and Correspondence,FL Inconclusives with No Referral Tests or Correspondence,,not_available,,Not Available,Stats,49
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Referral Antigen Tests (including non-Same Day),,not_available,,Not Available,Stats,52
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Same Day Referral Antigen Tests,,not_available,,Not Available,Stats,53
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases with Same Day Antigen Negative,,not_available,Agree with Referral Test Positive (usually PCR or later Antigen) but Initial Antigen Negative,Not Available,Stats,54
Comparison to Antigen,% Confirmed FloodLAMP Positives with Same Day Antigen Negative,,not_available,,Not Available,Stats,55
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases confirmed with Referral Tests but Antigen and Other Non-Antigen Test Negative,,not_available,,Not Available,Stats,56
Comparison to Antigen,% Confirmed FloodLAMP Positives that were Antigen and Other Non-Antigen Test Negative,,not_available,,Not Available,Stats,57
False Calls,False Positives Final Results,0,ok,From reviewing APS/Pos and Incl tab Unconfirmed FL Positives,,Stats,60
False Calls,False Negative Final Results (Suspected),0,ok,From reviewing Referral Tests by Person and correspondence with Program Admin,,Stats,61
People,Number of Unique Individuals Tested,1074,ok,Includes UnknownPerson additions but not ARF tubes,,Stats,64
People,Number of Unique Sponsors,264,ok,People who collect using the app,,Stats,65
Positivity,Number of Unique Individual Tested FloodLAMP Positive,347,ok,includes Inconclusive FloodLAMP result confirmed Positive by follow-up or Referral,,Stats,68
Positivity,% of Population FloodLAMP Positive (excluding pools not deconv),0.3230912477,ok,,,Stats,69
Positivity,Number of Unique Individual Tested FloodLAMP Positive (including if in a positive pool),347,ok,,,Stats,70
Positivity,% of Population FloodLAMP Positive (including everyone in a positive pool),0.3230912477,ok,,,Stats,71
Dates,Start Run Date,2021-08-31,ok,,,Stats,74
Dates,End Run Date,2022-03-07,ok,,,Stats,75
Info,Test Operator,City of Coral Springs,ok,Who ran the actual testing (running LAMP reactions),,Stats,78
Info,Test Processing Site,Office Space,ok,Where the test processing (running LAMP reactions) was done,,Stats,79
Info,Population Tested,"EMS, First Responders, City Staff",ok,Description of the participants,,Stats,80
Info,Configuration,Double Standard,ok,Equipment set used for test processing (relates to throughput and type of test tube used),,Stats,81
Info,Collection Type,Pooled,ok," Pooled, Individual, or Both",,Stats,82
Info,Self or HCW Collected,Self,ok,HCW is Health Care Worker,,Stats,83
Info,App Used?,Yes,ok,Was the FloodLAMP Mobile App and Admin Portal utilized in the program,,Stats,84
Info,Bring-up Type,In Person,ok,How the initial setup and validation of the testing site was done,,Stats,85
Info,Program Name,Coral Springs,ok,Shorthand name used internally at FloodLAMP and in other documents for this program,,Stats,86
Info,Site,Municipal Building,ok,Broader physical space where the testing was done and/or where participants congregated,,Stats,87
Info,Site Type,City / EMS,ok,Type of entity or organization receiving the testing program,,Stats,88
Info,Location,"Coral Springs, FL",ok,Geographical location of where the FloodLAMP testing program occurred,,Stats,89
