collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2022-01-01,2,0,2,0,0,0,0,2
2022-01-02,12,10,2,0,0,0,0,12
2022-01-03,12,10,2,0,0,0,0,12
2022-01-04,6,6,0,0,0,0,0,6
2022-01-05,5,4,1,0,0,0,0,5
2022-01-06,13,10,3,0,0,0,0,13
2022-01-08,7,6,1,0,0,0,0,7
2022-01-09,18,11,7,0,0,0,0,18
2022-01-10,27,19,7,1,0,0,0,27
2022-01-11,3,2,1,0,0,0,0,3
2022-01-12,9,9,0,0,0,0,0,9
2022-01-13,23,23,0,0,0,0,0,23
2022-01-15,4,4,0,0,0,0,0,4
2022-01-16,5,5,0,0,0,0,0,5
2022-01-17,42,33,9,0,0,0,0,42
2022-01-18,1,1,0,0,0,0,0,1
2022-01-19,5,5,0,0,0,0,0,5
2022-01-20,29,29,0,0,0,0,0,29
2022-01-22,3,3,0,0,0,0,0,3
2022-01-23,6,6,0,0,0,0,0,6
2022-01-24,19,19,0,0,0,0,0,19
2022-01-25,5,5,0,0,0,0,0,5
2022-01-26,4,4,0,0,0,0,0,4
2022-01-27,25,25,0,0,0,0,0,25
2022-01-29,6,6,0,0,0,0,0,6
2022-01-30,2,2,0,0,0,0,0,2
2022-01-31,21,21,0,0,0,0,0,21
2022-02-02,5,5,0,0,0,0,0,5
2022-02-03,27,27,0,0,0,0,0,27
2022-02-05,4,4,0,0,0,0,0,4
2022-02-06,2,2,0,0,0,0,0,2
2022-02-07,26,26,0,0,0,0,0,26
2022-02-09,1,1,0,0,0,0,0,1
2022-02-10,27,27,0,0,0,0,0,27
2022-02-11,1,1,0,0,0,0,0,1
2022-02-12,2,2,0,0,0,0,0,2
2022-02-13,4,4,0,0,0,0,0,4
2022-02-14,22,21,0,1,0,0,0,22
2022-02-16,3,3,0,0,0,0,0,3
2022-02-17,23,23,0,0,0,0,0,23
2022-02-18,1,1,0,0,0,0,0,1
2022-02-24,1,1,0,0,0,0,0,1
2022-02-27,20,20,0,0,0,0,0,20
2022-03-03,25,25,0,0,0,0,0,25
2022-03-06,5,5,0,0,0,0,0,5
2022-03-07,18,18,0,0,0,0,0,18
2022-03-09,2,2,0,0,0,0,0,2
2022-03-10,19,19,0,0,0,0,0,19
2022-03-12,2,2,0,0,0,0,0,2
2022-03-13,3,3,0,0,0,0,0,3
2022-03-14,18,18,0,0,0,0,0,18
2022-03-16,1,1,0,0,0,0,0,1
2022-03-17,14,14,0,0,0,0,0,14
2022-03-20,2,2,0,0,0,0,0,2
2022-03-21,20,20,0,0,0,0,0,20
2022-03-22,1,1,0,0,0,0,0,1
2022-03-24,24,24,0,0,0,0,0,24
2022-03-28,5,5,0,0,0,0,0,5
2022-04-01,3,3,0,0,0,0,0,3
2022-04-02,4,4,0,0,0,0,0,4
2022-04-03,3,3,0,0,0,0,0,3
2022-04-04,22,22,0,0,0,0,0,22
2022-04-06,1,1,0,0,0,0,0,1
2022-04-07,19,19,0,0,0,0,0,19
2022-04-10,1,1,0,0,0,0,0,1
2022-04-11,21,21,0,0,0,0,0,21
2022-04-14,19,19,0,0,0,0,0,19
2022-04-16,1,1,0,0,0,0,0,1
2022-04-17,2,2,0,0,0,0,0,2
2022-04-18,20,20,0,0,0,0,0,20
2022-04-19,5,5,0,0,0,0,0,5
2022-04-21,24,24,0,0,0,0,0,24
2022-04-24,3,3,0,0,0,0,0,3
2022-04-25,18,18,0,0,0,0,0,18
2022-04-28,26,26,0,0,0,0,0,26
2022-05-01,3,3,0,0,0,0,0,3
2022-05-02,25,23,2,0,0,0,0,25
2022-05-05,25,25,0,0,0,0,0,25
2022-05-08,3,2,0,1,0,0,0,3
2022-05-09,30,26,4,0,0,0,0,30
2022-05-10,1,1,0,0,0,0,0,1
2022-05-11,5,4,0,1,0,0,0,5
2022-05-12,21,21,0,0,0,0,0,21
2022-05-15,1,1,0,0,0,0,0,1
2022-05-16,18,18,0,0,0,0,0,18
2022-05-17,3,3,0,0,0,0,0,3
2022-05-19,25,24,1,0,0,0,0,25
2022-05-22,4,3,1,0,0,0,0,4
2022-05-23,16,16,0,0,0,0,0,16
2022-05-25,1,1,0,0,0,0,0,1
2022-05-26,20,20,0,0,0,0,0,20
2022-05-27,1,1,0,0,0,0,0,1
2022-05-30,3,3,0,0,0,0,0,3
2022-05-31,17,17,0,0,0,0,0,17
2022-06-06,4,4,0,0,0,0,0,4
2022-06-09,3,3,0,0,0,0,0,3
2022-06-13,2,2,0,0,0,0,0,2
2022-06-16,2,2,0,0,0,0,0,2
2022-06-17,1,1,0,0,0,0,0,1
2022-06-20,2,2,0,0,0,0,0,2
2022-06-23,1,1,0,0,0,0,0,1
2022-06-27,1,1,0,0,0,0,0,1
2022-06-29,1,1,0,0,0,0,0,1
2022-06-30,1,1,0,0,0,0,0,1
2022-07-18,2,2,0,0,0,0,0,2
2022-07-21,1,1,0,0,0,0,0,1
2022-07-25,3,3,0,0,0,0,0,3
2022-07-28,1,1,0,0,0,0,0,1
2022-08-01,1,1,0,0,0,0,0,1
2022-08-04,2,2,0,0,0,0,0,2
2022-08-22,1,1,0,0,0,0,0,1
2022-09-06,2,2,0,0,0,0,0,2
2022-09-08,1,1,0,0,0,0,0,1
2022-09-12,2,2,0,0,0,0,0,2
2022-09-15,2,2,0,0,0,0,0,2
2022-09-19,2,2,0,0,0,0,0,2
2022-09-22,2,2,0,0,0,0,0,2
2022-09-26,2,2,0,0,0,0,0,2
2022-09-29,2,2,0,0,0,0,0,2
2022-10-03,1,1,0,0,0,0,0,1
2022-10-06,4,4,0,0,0,0,0,4
2022-10-10,3,3,0,0,0,0,0,3
2022-10-13,2,2,0,0,0,0,0,2
2022-10-17,2,2,0,0,0,0,0,2
2022-10-20,2,2,0,0,0,0,0,2
2022-10-24,3,3,0,0,0,0,0,3
2022-10-25,1,1,0,0,0,0,0,1
2022-10-27,4,4,0,0,0,0,0,4
2022-10-31,2,2,0,0,0,0,0,2
2022-11-03,3,3,0,0,0,0,0,3
2022-11-07,3,3,0,0,0,0,0,3
2022-11-10,2,2,0,0,0,0,0,2
2022-11-14,5,5,0,0,0,0,0,5
2022-11-21,3,3,0,0,0,0,0,3
2022-11-29,2,2,0,0,0,0,0,2
2022-12-01,3,3,0,0,0,0,0,3
2022-12-08,2,2,0,0,0,0,0,2
2022-12-09,1,1,0,0,0,0,0,1
2022-12-12,1,1,0,0,0,0,0,1
2022-12-15,10,9,1,0,0,0,0,10
2022-12-19,5,5,0,0,0,0,0,5
2022-12-20,1,1,0,0,0,0,0,1
2022-12-26,3,3,0,0,0,0,0,3
2023-01-02,3,3,0,0,0,0,0,3
